Id,SalePrice
1461,121046.22536259204
1462,157816.0205891282
1463,178548.49109078862
1464,198668.71601871864
1465,188039.68904528968
1466,175637.21809429026
1467,180118.3240960552
1468,168640.83677471886
1469,193114.05614170918
1470,115619.66614679937
1471,182794.02090977135
1472,102131.99547435204
1473,101591.80647080384
1474,146141.56316411862
1475,115834.3553510102
1476,325996.4751054795
1477,229340.34511933677
1478,286037.86606747395
1479,272345.0291004589
1480,460620.0584800612
1481,310875.0941762774
1482,215708.2711965242
1483,177983.79850190337
1484,173720.09134001876
1485,194765.3168298291
1486,203232.64626078648
1487,308786.45464105246
1488,220971.07401635926
1489,179261.1639055531
1490,227743.33440099406
1491,195768.94455156676
1492,103815.46657007268
1493,195834.23946251528
1494,276657.4182724525
1495,271852.03913407726
1496,223328.35575208763
1497,170496.72927555928
1498,161192.40357840163
1499,162392.39975505183
1500,159269.26024781915
1501,172852.6006493418
1502,150296.04903778047
1503,250367.3444781011
1504,236689.5205592017
1505,223196.49056178884
1506,194982.04254250004
1507,249364.26529020452
1508,195755.0895746554
1509,159738.84399064322
1510,136041.6571094897
1511,142451.85713482203
1512,166371.72474382402
1513,141218.1473722471
1514,147783.99980576392
1515,180968.1725078061
1516,150020.35263567432
1517,162773.5095835414
1518,134315.67820560504
1519,198206.11874640864
1520,123856.151526161
1521,121236.4827042885
1522,174742.8685030386
1523,105757.66777767878
1524,113531.20354836587
1525,115342.78053484947
1526,113057.15454552353
1527,105333.28914070576
1528,137560.38108683797
1529,138798.20762454317
1530,188748.53581616608
1531,133939.5991928722
1532,100114.3051510376
1533,146385.4718323106
1534,113979.89245101604
1535,148339.04573991647
1536,113216.84665186625
1537,74590.82351133662
1538,152670.7148459853
1539,190574.7481204401
1540,100223.04775753984
1541,131237.98762721167
1542,142207.2033402853
1543,173025.27285643216
1544,91009.57446314178
1545,114861.94394380765
1546,135983.37358135934
1547,137663.13661426984
1548,128401.82868474307
1549,117947.16628405273
1550,129756.8180652774
1551,113712.42547613672
1552,135989.7700949509
1553,136304.8115590347
1554,116829.20695872919
1555,171240.36062350715
1556,84664.98204879266
1557,93685.71534642461
1558,95950.7043144198
1559,91525.99838027924
1560,139204.7508752249
1561,118041.87564706636
1562,135596.74006818514
1563,118720.71663121924
1564,152777.24945222755
1565,140916.9145885198
1566,235254.5307963082
1567,78126.56842861656
1568,234402.1249231096
1569,127660.72684732813
1570,146088.68374317803
1571,120063.09483712632
1572,139611.94360767474
1573,206518.3741459617
1574,118158.78101829343
1575,229223.70146572788
1576,243831.64065420724
1577,188747.5940111968
1578,140533.30109168813
1579,142272.63068652962
1580,193884.9713289033
1581,168150.2300742388
1582,130792.75284303678
1583,288832.4156881198
1584,230682.61485947855
1585,149015.62583653352
1586,67912.24114442566
1587,107700.76157074168
1588,141444.9354094995
1589,95109.7007091586
1590,131985.91426099598
1591,92713.78396028806
1592,114480.90429605277
1593,120855.201216454
1594,119392.08806616043
1595,108457.07649603976
1596,210295.97593186027
1597,175637.44606315988
1598,190647.4868888833
1599,172559.19150065398
1600,170251.26401695868
1601,68989.56813874659
1602,113373.08129791036
1603,88433.49244055833
1604,262609.1092854509
1605,232060.90484060723
1606,161477.22950814478
1607,175887.6597751701
1608,220299.62421264354
1609,176116.36573824953
1610,151920.09840813238
1611,141495.84370165825
1612,173714.88083592456
1613,169350.63248203744
1614,134113.82128399273
1615,97609.4131233966
1616,84052.36931326681
1617,98259.07689934013
1618,127886.98891772401
1619,137758.94523004704
1620,167801.21500898473
1621,134400.23994948054
1622,148110.3149723873
1623,263161.3142955049
1624,218130.1288195023
